"字詞名","注音一式","釋義"
"紅葉","ㄏㄨㄥˊ　ㄧㄝˋ","楓樹等植物的葉子，秋季時會轉變為紅色，故稱為「紅葉」。[例]她們在楓林中撿拾紅葉，夾在書本裡當作書籤。"
"紅顏","ㄏㄨㄥˊ　ㄧㄢˊ","1.借指美人。[例]紅顏薄命、紅顏知己
2.少年。[例]紅顏棄軒冕，白首臥松雲。（唐．李白〈贈孟浩然〉詩）"
"紅眼","ㄏㄨㄥˊ　ㄧㄢˇ","1.紅著眼睛。[例]她哭了一整夜後，隔天帶著一雙腫泡的紅眼上班。
2.一種眼疾。眼白發紅，類似角膜發炎的症狀。　△烘眼"
"紅外線","ㄏㄨㄥˊ　ㄨㄞˋ　ㄒㄧㄢˋ","波長較可見光為強，光譜上介於紅光和微波間的電磁輻射。以三稜鏡分散日光時，熱線折射而排列於光譜中紅色部分以外，故稱為「紅外線」。紅外線具有較強的穿透力，並能發出熱能，故多用於醫療、工業、通訊、遙感探測等。[例]軍事上常利用紅外線的穿透特性，製作夜視的裝備。"
"訌","ㄏㄨㄥˊ","→內訌"
"鴻","ㄏㄨㄥˊ","1.動物名。鳥綱雁形目。體型較雁大，背頸灰色，翅黑色，腹白色。　△鴻雁
2.大、盛。通「洪」、「宏」、「弘」。[例]鴻願、鴻恩、鴻圖
3.借指書信。[例]來鴻敬悉"
"鴻毛","ㄏㄨㄥˊ　ㄇㄠˊ","鴻雁的羽毛。比喻極輕微。[例]死有重於泰山，或輕於鴻毛。（《漢書．卷六十二．司馬遷傳》）"
"鴻福","ㄏㄨㄥˊ　ㄈㄨˊ","大的福分。[例]鴻福齊天"
"鴻圖","ㄏㄨㄥˊ　ㄊㄨˊ","遠大的計畫、理想。[例]大展鴻圖"
"鴻圖大展","ㄏㄨㄥˊ　ㄊㄨˊ　ㄉㄚˋ　ㄓㄢˇ","祝賀人家得以發展遠大的志向或計畫的用語。[例]祝您從此鴻圖大展，公司業務蒸蒸日上。"
"鴻溝","ㄏㄨㄥˊ　ㄍㄡ","比喻極大的距離或誤解。[例]他居中協調，期能消除雙方在觀念上的鴻溝。"
"鴻鵠大志","ㄏㄨㄥˊ　ㄏㄨˊ　ㄉㄚˋ　ㄓˋ","比喻宏大的志向。[例]他自小便有鴻鵠大志，希望有朝一日揚名文壇。"
"鴻爪","ㄏㄨㄥˊ　ㄓㄠˇ　","比喻往事的痕跡。[例]雪泥鴻爪"
"鴻儒","ㄏㄨㄥˊ　ㄖㄨˊ","博學的儒者。[例]王教授是位學養深厚的博學鴻儒，在學界享有盛名。"
"鴻文","ㄏㄨㄥˊ　ㄨㄣˊ","尊稱他人所作的文章。[例]拜讀鴻文後，對於您卓越的見解深感佩服。"
"鴻運","ㄏㄨㄥˊ　ㄩㄣˋ","好運氣。指人的境遇順利、如意。[例]鴻運當頭"
"黌","ㄏㄨㄥˊ","學校。[例]黌舍"
"黌宮","ㄏㄨㄥˊ　ㄍㄨㄥ","學校。[例]學校古稱黌宮，是個傳道、授業、解惑的莊嚴所在。"
"哄","ㄏㄨㄥˇ","1.欺騙、拐騙。[例]連哄帶騙
2.逗弄、撫慰。[例]孩子哭了，快去哄哄他吧！"
"哄騙","ㄏㄨㄥˇ　ㄆㄧㄢˋ","用言語或行為誘騙他人。[例]這名神棍假藉名義，哄騙信徒財物，終遭舉發，被移送法辦。"
"鬨","ㄏㄨㄥˋ","許多人在一起喧鬧。[例]起鬨、內鬨、鬨堂鬧市"
"几","ㄐㄧ","小桌子。[例]茶几、窗明几淨"
"肌","ㄐㄧ","1.肉。[例]面黃肌瘦、割肌餵母
2.皮膚。[例]冰清玉肌、面枯肌黃
3.→肌肉"
"肌膚","ㄐㄧ　ㄈㄨ","肌肉與皮膚。[例]她的肌膚光滑柔嫩，看起來很年輕。"
"肌膚之親","ㄐㄧ　ㄈㄨ　ㄓ　ㄑㄧㄣ","身體親暱的接觸。[例]夫妻間的肌膚之親是自然的表現。"
"肌腱","ㄐㄧ　ㄐㄧㄢˋ","一種連接骨骼肌和骨骼的緻密結締組織。色白，缺乏延展性，但具有強韌性。[例]不正確的打字方式，容易導致肌腱發炎。"
"肌肉","ㄐㄧ　ㄖㄡˋ","在高等動物皮膚下，由成束的肌纖維或肌細胞構成的紅色柔軟的組織。富收縮性。可分成平滑肌、骨骼肌、心肌等三項。[例]他雙腿的肌肉萎縮，不良於行。　△筋肉"
"飢","ㄐㄧ","肚子空，想進食的感覺。與「飽」相對。[例]飢餓、飢渴、飢腸轆轆"
"飢不擇食","ㄐㄧ　ㄅㄨˋ　ㄗㄜˊ　ㄕˊ","飢餓時不挑選食物的好惡，有什麼吃什麼。比喻急迫時不作選擇、挑剔。[例]飢不擇食，寒不擇衣。"
"飢民","ㄐㄧ　ㄇㄧㄣˊ","因饑荒而缺乏食物的人民。[例]非洲某些地方因長年乾旱造成許多飢民餓死。"
"飢渴","ㄐㄧ　ㄎㄜˇ","1.飢餓和口渴。[例]連日來的飢渴，已使他呈現昏迷狀態。
2.比喻急切的盼望。[例]小弟對著玩具店中的玩具露出飢渴的眼光。"
"飢寒","ㄐㄧ　ㄏㄢˊ","飢餓受凍。比喻窮困而衣食不足。[例]長期處在飢寒的生活中，使得他面黃肌瘦，神色憔悴。"
"飢寒交迫","ㄐㄧ　ㄏㄢˊ　ㄐㄧㄠ　ㄆㄛˋ","飢餓寒冷交相逼迫。[例]大批難民在逃難過程中，受盡飢寒交迫之苦。"
"飢腸轆轆","ㄐㄧ　ㄔㄤˊ　ㄌㄨˋ　ㄌㄨˋ","轆轆，狀聲詞，形容空腹的鳴叫聲。飢腸轆轆形容非常飢餓的樣子。[例]經過一天的勞累，他早已飢腸轆轆，疲憊不堪。"
"飢餓","ㄐㄧ　ㄜˋ","腹空急欲得食的感覺。[例]經過一整天的長途跋涉，真教人飢餓難捱。"
"乩","ㄐㄧ","一種藉求神占卜以問吉凶或解決疑難的方法。盛行於民間。俗稱為「扶乩」。[例]道教扶乩儀式中，神明降駕乩身時，靈媒便起乩傳達旨意。"
"乩童","ㄐㄧ　ㄊㄨㄥˊ","傳統民俗上專門替人求神占卜的人。據說在做法事時神明會附身的靈媒，以傳達旨意，為信徒指點迷津。[例]只見神案之前，乩童口中唸著咒語，手拿著筆，將神明的指示化為字句。  "
"其","ㄐㄧ","助詞。置於語尾，表示疑問的語氣。[例]夜如何其？夜未央。（《詩經．小雅．庭燎》）"
"基","ㄐㄧ","1.建築物的底部。[例]牆基、地基、路基
2.事物的根本。[例]根基
3.根本的。[例]基數、基層、基金
4.根據。[例]基於朋友之義，我再次幫忙。
5.化學上指化合物分子中所含的一部分原子被視為一個單位時，稱為「基」。[例]氫基"
"基本","ㄐㄧ　ㄅㄣˇ","根本、最重要的。[例]基本訓練、基本常識、基本精神"
"基本工資","ㄐㄧ　ㄅㄣˇ　ㄍㄨㄥ　ㄗ","勞工在正常工作時間內所得的報酬下限。[例]雇主若不能按月給予員工基本工資，是違反《勞動基準法》的。"
"基肥","ㄐㄧ　ㄈㄟˊ","播種或移栽之前施於土壤的肥料。具有供給作物養分，改良土壤的作用。如廄肥、堆肥、綠肥等遲效性肥料都適於做基肥。　△底肥"
"基地","ㄐㄧ　ㄉㄧˋ","1.建築物所占用的土地。[例]這座建物基地極廣，當初著實費了一番苦心，才完成土地收購。
2.根據地。[例]艦艇完成遠洋巡邏任務後，於今早返回基地。"
"基點","ㄐㄧ　ㄉㄧㄢˇ","1.出發點。[例]這次路跑活動從基點到終點，全程二十公里。
2.中心點。[例]現在的臺北市，是以舊臺北城為基點，逐步向外發展而形成的。"
"基督","ㄐㄧ　ㄉㄨ","基督教徒對耶穌的尊稱。原義為救世主。§英Christ"
"基督教","ㄐㄧ　ㄉㄨ　ㄐㄧㄠˋ","西元一世紀由巴勒斯坦境內拿撒勒人耶穌所創立的宗教，初期流行於亞細亞西部，現遍及世界。十一世紀分裂為天主教和東正教，十六世紀宗教改革後又從天主教分裂出許多新教派，如長老會、聖公會、浸信會、衛理會等。我國統稱新教為「基督教」。"
"基金","ㄐㄧ　ㄐㄧㄣ","從事各種事業或活動的基本資金。[例]教育基金、慈善基金"
"基金會","ㄐㄧ　ㄐㄧㄣ　ㄏㄨㄟˋ","為興辦、發展某種事業或活動而組成的團體。資金來源可經由社會募捐或工商業界出資等方式取得。人員有的採固定編制，有些則是義務性協助。[例]防癌基金會、兒童燙傷基金會、消費者文教基金會"
"基準","ㄐㄧ　ㄓㄨㄣˇ","測量的起算標準。泛指原理或規範。[例]請同學們以排頭為基準，向右看齊。"
"基礎","ㄐㄧ　ㄔㄨˇ","房屋的基址和柱腳的礎石。引申為事物的根本。[例]無論做什麼事，都要將基礎打穩，才能更上一層樓。"
"基石","ㄐㄧ　ㄕˊ","1.支撐建築物基底的石頭。[例]基石不穩固，則建築物容易倒塌。
2.比喻事物的根本、根據。[例]健康是一切事業的基石。"
"基數","ㄐㄧ　ㄕㄨˋ","1.一至九的數字，是任何數的基本，稱為「基數」。[例]阿姨抓著小表弟的手指，或伸或曲的數數，加強他對基數的了解。
2.一、二……二十一……等普通整數。與第一、第二……等序數相對。
3.做為計算標準的數額。[例]退休金計算基數"
"基座","ㄐㄧ　ㄗㄨㄛˋ","柱子、石碑或雕塑等較大型物體的底座。[例]由於基座不堪洪水連日沖刷，終致整座橋樑塌陷損毀。"
"基層","ㄐㄧ　ㄘㄥˊ","1.建築物的底層。[例]金字塔的基層既廣且固，因而得以屹立千年不倒。
2.各種組織的最低層。[例]他從基層的業務人員做起，經過不斷的奮鬥，終於升到經理的職位。"
"基業","ㄐㄧ　ㄧㄝˋ","1.作為基礎的事業。[例]革命烈士們的犧牲奉獻，奠立了國家民主自由的基業。
2.祖先遺留下來的產業。[例]由於他揮霍無度，祖先所留下的基業已所剩無幾。"
"基因","ㄐㄧ　ㄧㄣ","染色體上控制生物性狀的單位。由去氧核糖核酸所構成，排列於染色體上。細胞分裂時基因能自行複製，是遺傳因子的功能單位。§英gene[例]基因突變會造成各種畸形兒。"
"期","ㄐㄧ","1.周年。[例]期年
2.喪服中期服的簡稱。[例]外無期功彊近之親，內無應門五尺之僮。（《文選．李密．陳情表》）"
"棋","ㄐㄧ","根底、根基。通「基」。"
"箕","ㄐㄧ","1.篩米去糠的圓形竹器。[例]簸箕
2.收集垃圾的器具。[例]畚箕"
"奇","ㄐㄧ","單數的。與「偶」相對。如 一、 三、 五、七等都是奇數。"
"奇數","ㄐㄧ　ㄕㄨˋ","不能被二整除的數，如一、三、五等。相對於偶數而言。"
"犄","ㄐㄧ","→犄角"
"犄角","ㄐㄧ　ㄐㄧㄠˇ","1.獸類的角。[例]牛犄角、鹿犄角
	
2.角落。[例]庭院的東北犄角長滿了雜草。
"
"畸","ㄐㄧ","1.不整齊的、不正常的。[例]畸形、畸戀
2.零餘的數目。[例]畸零
3.偏。[例]身為主管賞罰應公正，畸輕畸重皆難以令人信服。"
"畸零","ㄐㄧ　ㄌㄧㄥˊ","1.零餘的數，整除之外剩餘的數目。[例]畸零地、畸零月定存
2.孤單飄零。[例]他與失散多年的家人重逢，結束了畸零孤苦的生活。"
"畸零地","ㄐㄧ　ㄌㄧㄥˊ　ㄉㄧˋ","地形不完整或面積狹小，無法充分使用的土地。[例]這是一塊畸零地，無法獨立蓋房子。"
"畸形","ㄐㄧ　ㄒㄧㄥˊ","1.生物體的某部分發育不正常。[例]他先天雙腳畸形，要靠輪椅才能行動。
2.反常或不合常理。[例]拜金主義是一種畸形的社會現象。"
"笄","ㄐㄧ","古人盤髮髻時所用的簪子。[例]玉笄　◎"
"屐","ㄐㄧ","1.木頭鞋。[例]木屐
2.鞋的通稱。[例]草屐、錦屐"
"姬","ㄐㄧ","1.古代對婦女的美稱。[例]美姬、虞姬、戚姬
2.古代對妾的通稱。[例]侍姬、寵姬
3.舊稱從事歌舞表演的女子。[例]歌姬、舞姬
4.姓。"
"嵇","ㄐㄧ","姓。"
"稽","ㄐㄧ","1.停留、延遲、拖延。[例]稽留、稽延時日
2.考證、考核、查考。[例]稽查、稽核、無稽之談
3.計較。[例]反脣相稽"
"稽核","ㄐㄧ　ㄏㄜˊ","1.查對核算。[例]這筆費用經過有關人員的稽核後，已經可以動用了。
2.機關內負責考查核算的工作人員，地位比稽查高。[例]這些帳簿經過稽核的查驗後，已證明確實無誤。"
"稽徵","ㄐㄧ　ㄓㄥ","查核徵收。[例]稅捐稽徵處"
"稽查","ㄐㄧ　ㄔㄚˊ","1.考查。[例]警察局已決定對學校附近的電玩店展開全面稽查，以遏阻違規營業。
2.指機關內負責考查工作情形、成果或進度的人員。[例]教育部要求各機要設稽查，嚴格查核學生營養午餐的運作。"
"稽查員","ㄐㄧ　ㄔㄚˊ　ㄩㄢˊ","機關內負責考查工作情形、成果或進度的人員。[例]他由於工作努力，因此考績被稽查員評為甲等。"
"幾","ㄐㄧ","1.細微。[例]幾希、幾微
2.將近、相去不遠。[例]幾乎、庶幾
3.預兆、細微的跡象。[例]幾兆、治亂存亡之幾"
"幾乎","ㄐㄧ　ㄏㄨ","將近、差一點。[例]因為山洪暴發，通往山上的那條路幾乎全被沖斷了。"
"嘰","ㄐㄧ","1.狀聲詞。形容蟲鳥的鳴叫聲。[例]天濛濛亮，一群鳥兒早已在樹上嘰嘰喳喳的叫。
2.→嘰哩咕嚕"
"嘰哩咕嚕","ㄐㄧ　ㄌㄧ　ㄍㄨ　ㄌㄨ","狀聲詞：(1) 形容所說的話讓人聽不懂或聽不清楚。[例]他滿嘴嘰哩咕嚕的不知道在說些什麼，真教人摸不著頭緒。　(2) 形容肚腹中所發出的聲音。[例]他因為沒吃早餐，所以十點多肚子就已經餓得嘰哩咕嚕叫了。"
"嘰嘰喳喳","ㄐㄧ　ㄐㄧ　ㄓㄚ　ㄓㄚ","狀聲詞。形容吵雜細碎的說話聲。[例]那一群人嘰嘰喳喳的，不知道在討論什麼？"
"畿","ㄐㄧ","國都或古代君王所管轄的地方。[例]京畿、王畿、近畿"
"璣","ㄐㄧ","1.不圓的珠子。[例]珠璣、明璣
2.古代天文儀器「璇璣玉衡」上轉動的部分。
3.古指北斗七星的第三星。今則稱為「天璣」。"
"機","ㄐㄧ","1.織布的器具。[例]機杼
2.時宜、際會。[例]時機、投機、隨機應變
3.靈巧、智巧。[例]機智、機巧、機警
4.重要的、祕密的。[例]軍事機密、機要祕書
5.事物發生、變化的原由。[例]動機
6.存於內心的欲望、俗念。[例]心機、陶然忘機
7.機器的通稱。[例]打字機、發電機
8.飛機的簡稱。[例]客機、戰鬥機、停機坪
9.姓。"
"機不可失","ㄐㄧ　ㄅㄨˋ　ㄎㄜˇ　ㄕ","機會難得，不可錯失。[例]這次升等考試是你能否晉升的關鍵，機不可失，千萬得好好把握。"
"機票","ㄐㄧ　ㄆㄧㄠˋ","搭乘飛機的票證。[例]他買了一張直飛澳洲的機票，準備下星期三出國觀光。"
"機密","ㄐㄧ　ㄇㄧˋ","重要而祕密的事。[例]他因為洩露國防機密而被判處重刑。"
"機密文件","ㄐㄧ　ㄇㄧˋ　ㄨㄣˊ　ㄐㄧㄢˋ","重要而祕密的公文、書札等。[例]此次會議的紀錄被列為機密文件，不得對外公布。"
"機房","ㄐㄧ　ㄈㄤˊ","放置或操控機器的場所。[例]此處為機房重地，閒人請止步。"
"機動","ㄐㄧ　ㄉㄨㄥˋ","1.隨事機的變化而靈活因應。[例]機動出勤、機動部隊
2.利用機器操控發動的。[例]在科技高度發展下，很多生產設備都由人力運作改為機動裝置。"
"機能","ㄐㄧ　ㄋㄥˊ","1.組織器官的活動能力。[例]心臟機能、腎臟機能
2.功能。[例]水庫具有防洪、發電、灌溉等機能。"
"機伶","ㄐㄧ　ㄌㄧㄥˊ","機警伶俐。[例]那個小偷機伶得很，警察要抓到他可真不容易。"
"機靈","ㄐㄧ　ㄌㄧㄥˊ","機智靈巧。[例]他既機靈又認真，是主管的得力助手。"
"機率","ㄐㄧ　ㄌㄩˋ","機會或可能性的比值。[例]他聰明又用功，考上好學校的機率很大。"
"機構","ㄐㄧ　ㄍㄡˋ","泛指機關團體或工作單位。[例]私人機構、公家機構"
"機關","ㄐㄧ　ㄍㄨㄢ","1.有組織的團體。多指辦理事務的機構。[例]公家機關、行政機關、學術機關　
2.有機件可以操控活動的器械。[例]這道門中裝置有遙控開啟的機關。
3.計謀、心機。[例]縱使機關算盡，仍無法成事，還是循規蹈矩的做人才好。"
"機關槍","ㄐㄧ　ㄍㄨㄢ　ㄑㄧㄤ","利用機械原理自動裝填並連續發射子彈的槍械。　◎"
"機關車","ㄐㄧ　ㄍㄨㄢ　ㄔㄜ","早期稱以蒸氣為動力，在鐵軌上曳引列車的機械。即火車頭。[例]阿里山上陳列著一個老舊的機關車供遊客憑弔。　△機關頭"
"機會","ㄐㄧ　ㄏㄨㄟˋ","關鍵性的時機。[例]錯過這個機會，你會後悔一輩子。"
"機會主義","ㄐㄧ　ㄏㄨㄟˋ　ㄓㄨˇ　ㄧˋ","沒有固定的原則與態度，而專門利用各種機會以期達到目的的主義。[例]這種人奉行機會主義，那裡有錢往那裡鑽。"
"機會成本","ㄐㄧ　ㄏㄨㄟˋ　ㄔㄥˊ　ㄅㄣˇ","經濟學上指從事某種決策行為所須放棄的最大價值。如一位大學畢業生在諸多選擇中選擇了繼續升學，其機會成本即為其餘選擇中所可獲得的最大利益。[例]受限於農舍面積的限制，養豬的機會成本獲益最高，於是他放棄畜養雞、鴨、牛等牲口。"
"機件","ㄐㄧ　ㄐㄧㄢˋ","機器或槍械上各種零件的統稱。[例]這臺機器泡過水後，裡面的機件已經生鏽而不能使用了。"
"機警","ㄐㄧ　ㄐㄧㄥˇ","機靈、敏捷。[例]這個守門員非常機警，使得對方的攻勢始終無法得逞。"
"機具","ㄐㄧ　ㄐㄩˋ","機械和器具的統稱。[例]我們應利用自動化的機具，以提高生產量，減少成本，才能獲取最大利潤。"
"機器","ㄐㄧ　ㄑㄧˋ","機械器具。由各種零件組成，可供運轉操控以節省人力，並使工作更為便利、生產量提高的裝置。[例]人類發明各式各樣的機器來代替人工，促進了產業的發達。"
"機器設備","ㄐㄧ　ㄑㄧˋ　ㄕㄜˋ　ㄅㄟˋ","機器的裝設配備。[例]這家工廠的機器設備非常先進，大大的提高了生產量。"
"機器人","ㄐㄧ　ㄑㄧˋ　ㄖㄣˊ","以電腦操控，可接受人所輸入的程式而自動工作的精密機器裝置。具有多項功能，能幫助人類作精密、重複及危險性高的工作。[例]在科技高度發展下，未來以機器人代替人類工作，不再是夢想。"
"機槍","ㄐㄧ　ㄑㄧㄤ","利用槍管的後座力而使槍隻能迅速且連續自動發射子彈的槍。其種類有輕機槍、重機槍等。[例]這種新式的機槍掃射範圍極廣，殺傷力也很強。　△機關槍"
"機械","ㄐㄧ　ㄒㄧㄝˋ","泛指各種機具、器械。[例]機械可以完成很多人力做不到的工作。"
"機械化","ㄐㄧ　ㄒㄧㄝˋ　ㄏㄨㄚˋ","1.使用機械裝備以節省人力的生產方式。[例]農業機械化、工業機械化
2.形容事物如機械動作般缺少變化。[例]他的生活方式非常機械化，真是單調乏味。"
"機先","ㄐㄧ　ㄒㄧㄢ","事情稍有徵兆而尚未發生之時。[例]這次幸虧他能洞察機先，採取因應措施，否則後果不堪設想。"
"機智","ㄐㄧ　ㄓˋ","聰明靈敏，能隨機應變。[例]他憑著機智的反應，終於化險為夷，死裡逃生。"
"機車","ㄐㄧ　ㄔㄜ","以汽油引擎或電動馬達驅動行駛的雙輪座車。有重型機車、輕型機車之分。前者汽缸總排氣量在51立方公分以上；後者汽缸總排氣量在50立方公分以下。[例]騎機車要戴安全帽，以確保生命安全。 △機器腳踏車"
"機場","ㄐㄧ　ㄔㄤˇ","指載卸客貨及供飛機起飛和降落的區域。[例]機場裡擠滿了出入境的旅客，真是熱鬧極了。　△航空站"
"機師","ㄐㄧ　ㄕ","操作管理機器的技術員。[例]這家工廠有很多技術精湛的機師。"
"機宜","ㄐㄧ　ㄧˊ","事理、時宜。[例]面授機宜"
"機要","ㄐㄧ　ㄧㄠˋ","祕密而重要。[例]機要文件、機要祕書"
"機油","ㄐㄧ　ㄧㄡˊ","1.機器上所塗的潤滑油，藉以減少摩擦，便利運轉。[例]這部機器要上點機油，才能繼續運轉。　△機器油、機械油
2.引擎等內燃機的自動潤滑系統中所使用的潤滑油。[例]機車在機油不足的情況下勉強行駛，會導致引擎受損。"
"機遇","ㄐㄧ　ㄩˋ","機會和境遇。[例]縱使有了好的機遇，也得看我們是否能趁勢掌握良機。"
"機緣","ㄐㄧ　ㄩㄢˊ","原指眾生信受佛法的時機和因緣。後泛指機會和因緣。[例]由於種種機緣，我們才能相遇又相知。"
"機緣湊巧","ㄐㄧ　ㄩㄢˊ　ㄘㄡˋ　ㄑㄧㄠˇ","機會因緣偶然巧合。[例]他機緣湊巧，獲得董事長賞識，一路被提拔至今天的職位。"
"機運","ㄐㄧ　ㄩㄣˋ","時機運氣。[例]他的機運不錯，剛畢業就找到一份理想的工作了。"
"禨","ㄐㄧ","祭祀鬼神，祈求福澤。[例]禨祥"
"禨祥","ㄐㄧ　ㄒㄧㄤˊ","1.祭祀求福之事。[例]古時帝王經常舉行祭祀禨祥，希望能消災致福。
2.吉凶。[例]他非常迷信算命，從無個人主見，凡事順應禨祥而行，。"
"磯","ㄐㄧ","水邊突出的巖石或石灘地。[例]采石磯、燕子磯"
"磯釣","ㄐㄧ　ㄉㄧㄠˋ","泛指在一般岩石、防波堤上的垂釣，特別是指在岩礁上的垂釣。海釣依地形分有灘釣、船釣、磯釣三種。所以磯釣是海釣的一種。[例]在東北海岸磯釣時要注意別讓瘋狗浪給捲走了。"
"譏","ㄐㄧ","諷刺、責備。[例]譏笑、譏諷"
"譏評","ㄐㄧ　ㄆㄧㄥˊ","譏諷批評。[例]針對別人的譏評，他選擇沉默以對。"
"譏諷","ㄐㄧ　ㄈㄥˋ","譏笑諷刺。[例]這篇文章對投機取巧的政客極盡譏諷之能事。"
"譏笑","ㄐㄧ　ㄒㄧㄠˋ","諷刺嘲笑。[例]無論別人如何譏笑，他依然我行我素。"
"饑","ㄐㄧ","1.五穀歉收的荒年。[例]饑荒、饑饉
2.餓。通「飢」。[例]饑餓、饑渴"
"饑荒","ㄐㄧ　ㄏㄨㄤ","五穀不生、果類不熟。[例]非洲地區土地貧瘠，氣候不良，因此常鬧饑荒。"
"跡","ㄐㄧ","1.步行時所遺留的印痕。[例]足跡、蹤跡、絕跡
2.事物的遺痕。[例]筆跡、痕跡、墨跡"
"跡象","ㄐㄧ　ㄒㄧㄤˋ","可供追尋查探的線索、現象。[例]根據種種跡象顯示，這樁案件他涉嫌重大。"
"激","ㄐㄧ","1.水勢受阻或震盪而噴濺。[例]海浪拍打在岩石上，激起無數美麗的水花。
2.使有所感發或變化。[例]刺激、激勵、激怒
3.強烈的、急劇的。[例]激戰、激增"
"激辯","ㄐㄧ　ㄅㄧㄢˋ","激烈的辯論。[例]這項在遺傳學上的大膽假設，引起學術討論會上熱烈的激辯。"
"激變","ㄐㄧ　ㄅㄧㄢˋ","激烈、迅速的變化。[例]社會正處於激變當中，每個人都須適時調整步伐，迎頭趕上。"
"激發","ㄐㄧ　ㄈㄚ","刺激使引發反應。[例]老師在課堂上運用各種方式以激發學生的學習興趣。"
"激憤","ㄐㄧ　ㄈㄣˋ","激動氣憤。[例]群情激憤"
"激奮","ㄐㄧ　ㄈㄣˋ","激揚奮發。[例]父親的一番話，使他激奮振作，不再頹喪。"
"激盪","ㄐㄧ　ㄉㄤˋ","1.受刺激而情緒波動。[例]在獲知贏得鋼琴大賽冠軍時，她的內心激盪不已。
2.因事物或言語的刺激而產生某些突破性的想法。[例]腦力激盪"
"激動","ㄐㄧ　ㄉㄨㄥˋ","受刺激而情緒高昂衝動。[例]當她聽到自己的作品獲獎時，情緒非常激動。"
"激怒","ㄐㄧ　ㄋㄨˋ","以言語或行動刺激他人，使其發怒。[例]他個性衝動，每次一被激怒，就忍不住加以還擊。"
"激勵","ㄐㄧ　ㄌㄧˋ","激發、鼓勵。[例]激勵人心"
"激烈","ㄐㄧ　ㄌㄧㄝˋ","強烈、猛烈。[例]這場籃球賽戰況激烈，直到最後一秒鐘才分出勝負。"
"激流","ㄐㄧ　ㄌㄧㄡˊ","湍急的水流。[例]凡是有激流、漩渦的河段，一律禁止游泳、戲水。"
"激化","ㄐㄧ　ㄏㄨㄚˋ","受刺激而發生劇烈的變化。[例]他將滿腔的悲憤激化為奮鬥的力量。"
"激進","ㄐㄧ　ㄐㄧㄣˋ","思想、行為等較一般人偏激急進。[例]激進派、激進分子"
"激將法","ㄐㄧ　ㄐㄧㄤˋ　ㄈㄚˇ","利用反面或刺激的話，鼓勵人去做原本不願意或不敢做的事。[例]父親的激將法使原本意志消沉的小叔重拾信心，勇敢的面對未來。"
"激切","ㄐㄧ　ㄑㄧㄝˋ","1.激烈率直。[例]這篇社論措辭激切，引起一陣熱烈的討論。
2.激動振奮。[例]抗議民眾群情激切，一度造成警民對峙的緊張局面。
3.聲音高亢悲切。[例]深夜聽聞杜鵑激切的啼聲，教人不勝唏噓。"
"激情","ㄐㄧ　ㄑㄧㄥˊ","強烈而激動的情感。[例]每次站在山崗上眺望晨曦，心中總湧動著喜悅的激情。"
"激戰","ㄐㄧ　ㄓㄢˋ","激烈的爭戰。[例]這場球賽在雙方熱烈激戰之後，終於分出了勝負。"
"激賞","ㄐㄧ　ㄕㄤˇ","極為讚賞。[例]這位演員把劇中的角色詮釋得淋漓盡致，真是令人激賞。"
"激增","ㄐㄧ　ㄗㄥ","快速地增加。[例]人口激增"
"激素","ㄐㄧ　ㄙㄨˋ","→內分泌"
"激昂","ㄐㄧ　ㄤˊ","形容情緒激越昂揚。[例]參加愛國歌曲比賽的學生，個個都情緒激昂、歌聲嘹亮。"
"積","ㄐㄧ","1.聚集、儲存。[例]累積、淤積、積少成多
2.長期累聚的。[例]積習、積弊、積怨
3.數與數相乘的得數。如三乘五等於十五，十五為「積」。"
"積弊","ㄐㄧ　ㄅㄧˋ","累積、沿襲已久的弊病。[例]這家公司的人事管理積弊已深，恐怕需要一段時間才能調整過來。"
"積木","ㄐㄧ　ㄇㄨˋ","一種玩具。以木頭或塑膠等材質製成，有各種形狀及色彩，能組合成多種形式的建築物及圖案。可藉以啟發智慧及組織能力。[例]這兩位小朋友正在同心協力的將積木組合成一間房子。"
"積非成是","ㄐㄧ　ㄈㄟ　ㄔㄥˊ　ㄕˋ","長期累積的謬誤，反被認為是正確的。[例]許多字音長久以來被人誤讀，最後反而積非成是了。"
"積分","ㄐㄧ　ㄈㄣ","1.累積的分數。[例]兩球隊的積分因為相同，所以必須延長賽程以決定勝負。
2.數學中已知某函數的微分，而求其原函數的方法。[例]積分最初是數學家們為了計算物體的面積、體積而發展出來的概念。"
"積德","ㄐㄧ　ㄉㄜˊ","積累功德。[例]行善積德"
"積體電路","ㄐㄧ　ㄊㄧˇ　ㄉㄧㄢˋ　ㄌㄨˋ","將許多電子元件如電晶體、電阻以及二極體的體積縮小而濃縮製造在一晶片上的電路。晶片多以矽作為材料，西元1959年首先由美國德州儀器公司製成。現今因製造技術進步，已生產出可容納更多電子元件的中型、大型、超大型及超級積體電路。一個超大型積體電路的功能相當於一部大型電腦。它具有輕巧、耗電小、可靠性高及速度快的優點。常應用於日常生活用品或高科技產物。[例]音樂卡由於內有一片積體電路，所以可以發出音樂聲。　△集積電路"
"積累","ㄐㄧ　ㄌㄟˇ","累積、聚積。[例]回到故居，許多積累已久的塵封往事，突然湧現腦海。"
"積勞成疾","ㄐㄧ　ㄌㄠˊ　ㄔㄥˊ　ㄐㄧˊ","因長期過度勞累而生病。[例]連日來的熬夜加班使得他積勞成疾，只得暫時請假在家調養。"
